NAME                    WORKLOAD                Bandwidth       IOPS            
vtfs-auto               seqread-psync           650.0mb         162.5k          
vtfs-auto-dax-1G        seqread-psync           653.1mb         163.2k          
vtfs-auto-dax-2G        seqread-psync           668.2mb         167.0k          
vtfs-auto-dax-4G        seqread-psync           657.8mb         164.4k          
vtfs-auto-dax-8G        seqread-psync           699.5mb         174.8k          
vtfs-auto-dax-16G       seqread-psync           674.3mb         168.5k          
vtfs-auto-dax-32G       seqread-psync           667.6mb         166.9k          
vtfs-auto-dax-64G       seqread-psync           696.1mb         174.0k          

vtfs-auto               seqread-psync-multi     2530.7mb        632.6k          
vtfs-auto-dax-1G        seqread-psync-multi     1931.1mb        482.7k          
vtfs-auto-dax-2G        seqread-psync-multi     2105.6mb        526.4k          
vtfs-auto-dax-4G        seqread-psync-multi     2142.2mb        535.5k          
vtfs-auto-dax-8G        seqread-psync-multi     2229.7mb        557.4k          
vtfs-auto-dax-16G       seqread-psync-multi     2324.3mb        581.0k          
vtfs-auto-dax-32G       seqread-psync-multi     2421.1mb        605.2k          
vtfs-auto-dax-64G       seqread-psync-multi     2469.7mb        617.4k          

vtfs-auto               seqread-mmap            570.6mb         142.6k          
vtfs-auto-dax-1G        seqread-mmap            823.9mb         205.9k          
vtfs-auto-dax-2G        seqread-mmap            798.1mb         199.5k          
vtfs-auto-dax-4G        seqread-mmap            874.4mb         218.6k          
vtfs-auto-dax-8G        seqread-mmap            960.5mb         240.1k          
vtfs-auto-dax-16G       seqread-mmap            917.1mb         229.2k          
vtfs-auto-dax-32G       seqread-mmap            884.4mb         221.1k          
vtfs-auto-dax-64G       seqread-mmap            855.6mb         213.9k          

vtfs-auto               seqread-mmap-multi      2210.1mb        552.5k          
vtfs-auto-dax-1G        seqread-mmap-multi      2722.9mb        680.7k          
vtfs-auto-dax-2G        seqread-mmap-multi      2828.2mb        707.0k          
vtfs-auto-dax-4G        seqread-mmap-multi      2777.4mb        694.3k          
vtfs-auto-dax-8G        seqread-mmap-multi      2880.4mb        720.1k          
vtfs-auto-dax-16G       seqread-mmap-multi      3159.2mb        789.8k          
vtfs-auto-dax-32G       seqread-mmap-multi      2989.2mb        747.3k          
vtfs-auto-dax-64G       seqread-mmap-multi      3007.3mb        751.8k          

vtfs-auto               seqread-libaio          303.3mb         75.8k           
vtfs-auto-dax-1G        seqread-libaio          396.4mb         99.1k           
vtfs-auto-dax-2G        seqread-libaio          391.9mb         97.9k           
vtfs-auto-dax-4G        seqread-libaio          422.9mb         105.7k          
vtfs-auto-dax-8G        seqread-libaio          419.0mb         104.7k          
vtfs-auto-dax-16G       seqread-libaio          411.2mb         102.8k          
vtfs-auto-dax-32G       seqread-libaio          436.1mb         109.0k          
vtfs-auto-dax-64G       seqread-libaio          418.0mb         104.5k          

vtfs-auto               seqread-libaio-multi    1500.0mb        375.0k          
vtfs-auto-dax-1G        seqread-libaio-multi    1271.7mb        317.9k          
vtfs-auto-dax-2G        seqread-libaio-multi    1338.1mb        334.5k          
vtfs-auto-dax-4G        seqread-libaio-multi    1306.6mb        326.6k          
vtfs-auto-dax-8G        seqread-libaio-multi    1416.8mb        354.2k          
vtfs-auto-dax-16G       seqread-libaio-multi    1461.9mb        365.4k          
vtfs-auto-dax-32G       seqread-libaio-multi    1531.9mb        382.9k          
vtfs-auto-dax-64G       seqread-libaio-multi    1495.4mb        373.8k          

vtfs-auto               randread-psync          77.9mb          19.4k           
vtfs-auto-dax-1G        randread-psync          18.7mb          4792            
vtfs-auto-dax-2G        randread-psync          25.2mb          6463            
vtfs-auto-dax-4G        randread-psync          59.9mb          14.9k           
vtfs-auto-dax-8G        randread-psync          693.7mb         173.4k          
vtfs-auto-dax-16G       randread-psync          646.0mb         161.5k          
vtfs-auto-dax-32G       randread-psync          635.4mb         158.8k          
vtfs-auto-dax-64G       randread-psync          663.4mb         165.8k          

vtfs-auto               randread-psync-multi    285.2mb         71.3k           
vtfs-auto-dax-1G        randread-psync-multi    28.7mb          7357            
vtfs-auto-dax-2G        randread-psync-multi    29.6mb          7596            
vtfs-auto-dax-4G        randread-psync-multi    35.0mb          8969            
vtfs-auto-dax-8G        randread-psync-multi    51.3mb          12.8k           
vtfs-auto-dax-16G       randread-psync-multi    497.1mb         124.2k          
vtfs-auto-dax-32G       randread-psync-multi    2092.9mb        523.2k          
vtfs-auto-dax-64G       randread-psync-multi    2051.0mb        512.7k          

vtfs-auto               randread-mmap           57.7mb          14.4k           
vtfs-auto-dax-1G        randread-mmap           15.1mb          3889            
vtfs-auto-dax-2G        randread-mmap           21.5mb          5506            
vtfs-auto-dax-4G        randread-mmap           59.4mb          14.8k           
vtfs-auto-dax-8G        randread-mmap           970.1mb         242.5k          
vtfs-auto-dax-16G       randread-mmap           883.1mb         220.7k          
vtfs-auto-dax-32G       randread-mmap           874.2mb         218.5k          
vtfs-auto-dax-64G       randread-mmap           954.3mb         238.5k          

vtfs-auto               randread-mmap-multi     243.5mb         60.8k           
vtfs-auto-dax-1G        randread-mmap-multi     11.7mb          3005            
vtfs-auto-dax-2G        randread-mmap-multi     20.4mb          5232            
vtfs-auto-dax-4G        randread-mmap-multi     23.1mb          5937            
vtfs-auto-dax-8G        randread-mmap-multi     35.3mb          9058            
vtfs-auto-dax-16G       randread-mmap-multi     1009.8mb        252.4k          
vtfs-auto-dax-32G       randread-mmap-multi     2612.6mb        653.1k          
vtfs-auto-dax-64G       randread-mmap-multi     2908.5mb        727.1k          

vtfs-auto               randread-libaio         276.2mb         69.0k           
vtfs-auto-dax-1G        randread-libaio         19.4mb          4968            
vtfs-auto-dax-2G        randread-libaio         23.3mb          5981            
vtfs-auto-dax-4G        randread-libaio         60.6mb          15.1k           
vtfs-auto-dax-8G        randread-libaio         413.5mb         103.3k          
vtfs-auto-dax-16G       randread-libaio         410.8mb         102.7k          
vtfs-auto-dax-32G       randread-libaio         392.0mb         98.0k           
vtfs-auto-dax-64G       randread-libaio         412.9mb         103.2k          

vtfs-auto               randread-libaio-multi   271.0mb         67.7k           
vtfs-auto-dax-1G        randread-libaio-multi   29.2mb          7479            
